Hip,Hab?,Display Name,Spectral Class,Distance,Xg,Yg,Zg,AbsMag
24682,1,Hip 24682,,136.1,-53.4,-99.4,-76,8.97
30714,,Hip 30714,K2IIICN...,136.1,0.2,-121.9,-60.4,1.301436695
31290,,Hip 31290,A3V,136.1,-133.5,-3.1,26,0.861436695
44243,1,Hip 44243,,136.1,-1.8,-136,-4.4,9.32
45550,,Hip 45550,A0,136.1,-80.2,78.8,76.5,1.311436695
50988,1,BD+39°2347,,136.1,-73.4,-2.6,114.6,9.04
54166,,Hip 54166,Ap...,136.1,58.2,-118.7,-32.2,1.231436695
55193,,Hip 55193,G8II,136.1,-38.1,-33,126.4,1.171436695
64951,,Hip 64951,B9.5/A0V,136.1,73,-107.5,-40.2,0.671436695
67848,,86 Ursae Majoris,A0V,136.1,-15.7,64,119,0.031436695
72923,1,BD+34°2580,,136.1,36.3,50.4,121,8.89
75107,,Hip 75107,K0,136.1,20.1,75.2,111.6,1.001436695
93425,,Hip 93425,B9IV,136.1,129.6,-0.1,-41.6,1.551436695
95343,,Hip 95343,A0V,136.1,122.9,46.9,-34.7,1.381436695
96530,,Hip 96530,A3V,136.1,58.9,122.3,9.6,1.771436695
98913,1,BD+85°347,,136.1,-59.3,107.1,59.4,8.57
100332,,Hip 100332,K3III,136.1,113.8,12.4,-73.6,0.791436695
104311,1,BD-12°5911,,136.1,87.8,66.9,-79.5,9.11
104371,,Hip 104371,B9V,136.1,32,129.3,-27.8,-0.068563305
104790,1,BD+51°3015,,136.1,-7.8,135.7,6.4,9.21
111394,,60 Aquarii,G6III,136.1,38.4,81.9,-101.7,0.211436695
112781,,Xi Octantis,B6IV,136.1,69.7,-86,-79.1,-0.348563305
115550,,Hip 115550,F0,136.1,-65,106.2,54.9,0.941436695
2175,1,Hip 2175,,136.2,19.2,-8.1,-134.6,9.39
7965,,43 Cassiopeiae,A0p SiSr,136.2,-82.9,107.3,13.4,-0.1015197
15927,,Hip 15927,G5,136.2,-92.1,-13.1,-99.5,1.5484803
16671,1,BD+13°569,,136.2,-113.4,16.3,-73.8,8.79
17929,,Hip 17929,K0,136.2,-107.4,82.6,14,1.6784803
27931,1,BD-03°1229,,136.2,-115.3,-64.6,-33.2,8.22
29608,1,Hip 29608,,136.2,-27.6,-119.3,-59.7,9
